stage3.2.branches.0.2.bn1.weight [18]
stage3.2.branches.0.2.bn1.bias [18]
stage3.2.branches.0.2.bn1.running_mean [18]
stage3.2.branches.0.2.bn1.running_var [18]
stage3.2.branches.0.2.conv2.weight [18,18,3,3]
stage3.2.branches.0.2.bn2.weight [18]
stage3.2.branches.0.2.bn2.bias [18]
stage3.2.branches.0.2.bn2.running_mean [18]
stage3.2.branches.0.2.bn2.running_var [18]
stage3.2.branches.0.3.conv1.weight [18,18,3,3]
stage3.2.branches.0.3.bn1.weight [18]
stage3.2.branches.0.3.bn1.bias [18]
stage3.2.branches.0.3.bn1.running_mean [18]
stage3.2.branches.0.3.bn1.running_var [18]
stage3.2.branches.0.3.conv2.weight [18,18,3,3]
stage3.2.branches.0.3.bn2.weight [18]
stage3.2.branches.0.3.bn2.bias [18]
stage3.2.branches.0.3.bn2.running_mean [18]
stage3.2.branches.0.3.bn2.running_var [18]
stage3.2.branches.1.0.conv1.weight [36,36,3,3]
stage3.2.branches.1.0.bn1.weight [36]
stage3.2.branches.1.0.bn1.bias [36]
stage3.2.branches.1.0.bn1.running_mean [36]
stage3.2.branches.1.0.bn1.running_var [36]
stage3.2.branches.1.0.conv2.weight [36,36,3,3]
stage3.2.branches.1.0.bn2.weight [36]
stage3.2.branches.1.0.bn2.bias [36]
stage3.2.branches.1.0.bn2.running_mean [36]
stage3.2.branches.1.0.bn2.running_var [36]
stage3.2.branches.1.1.conv1.weight [36,36,3,3]
stage3.2.branches.1.1.bn1.weight [36]
stage3.2.branches.1.1.bn1.bias [36]
stage3.2.branches.1.1.bn1.running_mean [36]
stage3.2.branches.1.1.bn1.running_var [36]
stage3.2.branches.1.1.conv2.weight [36,36,3,3]
stage3.2.branches.1.1.bn2.weight [36]
stage3.2.branches.1.1.bn2.bias [36]
stage3.2.branches.1.1.bn2.running_mean [36]
stage3.2.branches.1.1.bn2.running_var [36]
stage3.2.branches.1.2.conv1.weight [36,36,3,3]
stage3.2.branches.1.2.bn1.weight [36]
stage3.2.branches.1.2.bn1.bias [36]
stage3.2.branches.1.2.bn1.running_mean [36]
stage3.2.branches.1.2.bn1.running_var [36]
stage3.2.branches.1.2.conv2.weight [36,36,3,3]
stage3.2.branches.1.2.bn2.weight [36]
stage3.2.branches.1.2.bn2.bias [36]
stage3.2.branches.1.2.bn2.running_mean [36]
stage3.2.branches.1.2.bn2.running_var [36]
stage3.2.branches.1.3.conv1.weight [36,36,3,3]
stage3.2.branches.1.3.bn1.weight [36]
stage3.2.branches.1.3.bn1.bias [36]
stage3.2.branches.1.3.bn1.running_mean [36]
stage3.2.branches.1.3.bn1.running_var [36]
stage3.2.branches.1.3.conv2.weight [36,36,3,3]
stage3.2.branches.1.3.bn2.weight [36]
stage3.2.branches.1.3.bn2.bias [36]
stage3.2.branches.1.3.bn2.running_mean [36]
stage3.2.branches.1.3.bn2.running_var [36]
stage3.2.branches.2.0.conv1.weight [72,72,3,3]
stage3.2.branches.2.0.bn1.weight [72]
stage3.2.branches.2.0.bn1.bias [72]
stage3.2.branches.2.0.bn1.running_mean [72]
stage3.2.branches.2.0.bn1.running_var [72]
stage3.2.branches.2.0.conv2.weight [72,72,3,3]
stage3.2.branches.2.0.bn2.weight [72]
stage3.2.branches.2.0.bn2.bias [72]
stage3.2.branches.2.0.bn2.running_mean [72]
stage3.2.branches.2.0.bn2.running_var [72]
stage3.2.branches.2.1.conv1.weight [72,72,3,3]
stage3.2.branches.2.1.bn1.weight [72]
